Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Experiment	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	MS/MS / s	Identified MS/MS / s	MS/MS identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
171010_Ip_Hela_ugi	1	0	0.0050883	0.5328	139.91	35438	552000	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.729	13.26	13.26	11.56	11.42	0.07079	0	0.07079	0	0	0.1765	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	2	1	0.013968	0.6294	200	34902	499490	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.736	13.46	13.46	11.58	11.43	0.0707	0	0.0707	0	0	0.1768	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	3	2	0.024458	1.0681	199.48	55614	519020	2	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.745	13.68	13.68	11.59	11.45	0.07061	0	0.07061	0	0	0.1771	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	6	3	0.04226	0.5858	169.17	37231	441100	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.759	14.07	14.07	11.62	11.48	0.07044	0	0.07044	0	0	0.1776	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	7	4	0.052023	0.6101	200	35810	487360	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.767	14.28	14.28	11.64	11.5	0.07035	0	0.07035	0	0	0.1778	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	8	5	0.062192	0.6261	197.02	48109	495560	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.775	14.5	14.5	11.65	11.51	0.07026	0	0.07026	0	0	0.1781	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	9	6	0.072627	0.6264	193.34	49564	527980	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.783	14.72	14.72	11.67	11.53	0.07016	0	0.07016	0	0	0.1784	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	10	7	0.083067	0.839	200	34255	483650	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.791	14.95	14.95	11.69	11.55	0.07006	0	0.07006	0	0	0.1787	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	12	8	0.09705	0.5973	200	33439	433540	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.802	15.25	15.25	11.71	11.57	0.06993	0	0.06993	0	0	0.1791	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	13	9	0.10701	1.0641	200	40806	489010	2	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.81	15.46	15.46	11.72	11.58	0.06984	0	0.06984	0	0	0.1794	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	16	10	0.12474	0.5804	182.69	34057	401880	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.824	15.85	15.85	11.75	11.61	0.06968	0	0.06968	0	0	0.1799	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	17	11	0.13441	0.6289	200	37507	453440	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.832	16.05	16.05	11.77	11.63	0.06959	0	0.06959	0	0	0.1801	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	18	12	0.1449	0.6329	200	36265	409970	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.84	16.28	16.28	11.78	11.64	0.06949	0	0.06949	0	0	0.1804	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	19	13	0.15544	0.5983	171.37	44591	485480	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.849	16.51	16.51	11.8	11.66	0.06939	0	0.06939	0	0	0.1807	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	20	14	0.16542	0.6061	171.51	40464	532450	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.857	16.72	16.72	11.82	11.68	0.0693	0	0.0693	0	0	0.181	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	21	15	0.17552	0.6235	200	42533	457650	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.865	16.94	16.94	11.83	11.69	0.06921	0	0.06921	0	0	0.1813	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	22	16	0.18591	0.6323	200	64469	546840	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.873	17.16	17.16	11.85	11.71	0.06911	0	0.06911	0	0	0.1816	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	23	17	0.19645	0.6077	180.46	50175	530380	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.881	17.39	17.39	11.87	11.73	0.06901	0	0.06901	0	0	0.1818	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	24	18	0.20658	0.5871	157.74	54434	563640	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.89	17.61	17.61	11.88	11.74	0.06892	0	0.06892	0	0	0.1821	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	25	19	0.21636	0.5876	158.33	56412	580440	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.897	17.82	17.82	11.9	11.76	0.06883	0	0.06883	0	0	0.1824	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	26	20	0.22615	0.632	199.22	51672	479310	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.905	18.03	18.03	11.91	11.77	0.06874	0	0.06874	0	0	0.1827	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	27	21	0.23669	0.6266	200	56415	529070	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.913	18.26	18.26	11.93	11.79	0.06864	0	0.06864	0	0	0.183	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	28	22	0.24713	0.8194	178.31	59747	617290	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.922	18.49	18.49	11.95	11.81	0.06855	0	0.06855	0	0	0.1833	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	30	23	0.26079	0.5783	178.12	58770	544220	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.933	18.78	18.78	11.97	11.83	0.06842	0	0.06842	0	0	0.1836	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	31	24	0.27042	0.8686	198.3	49560	529140	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.94	18.99	18.99	11.98	11.85	0.06833	0	0.06833	0	0	0.1839	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	33	25	0.2849	0.5974	200	51439	538410	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.952	19.3	19.3	12.01	11.87	0.0682	0	0.0682	0	0	0.1843	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	34	26	0.29486	0.8026	156.46	50589	515250	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.96	19.51	19.51	12.02	11.88	0.0681	0	0.0681	0	0	0.1846	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	36	27	0.30823	0.5972	200	49691	505750	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.97	19.8	19.8	12.04	11.91	0.06798	0	0.06798	0	0	0.185	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	37	28	0.31819	0.5971	167.76	50795	583860	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.978	20.02	20.02	12.06	11.92	0.06789	0	0.06789	0	0	0.1852	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	38	29	0.32814	0.6344	200	50073	522010	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.986	20.23	20.23	12.07	11.94	0.0678	0	0.0678	0	0	0.1855	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	39	30	0.33871	0.6032	172.07	54248	584300	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	3.995	20.46	20.46	12.09	11.96	0.0677	0	0.0677	0	0	0.1858	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	40	31	0.34877	0.6234	200	52696	520000	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.003	20.68	20.68	12.11	11.97	0.0676	0	0.0676	0	0	0.1861	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	41	32	0.35916	0.6297	200	71282	593960	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.011	20.9	20.9	12.12	11.99	0.06751	0	0.06751	0	0	0.1864	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	42	33	0.36965	0.8634	200	51135	489980	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.019	21.13	21.13	12.14	12	0.06741	0	0.06741	0	0	0.1867	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	44	34	0.38404	0.571	173.4	46439	511560	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.031	21.44	21.44	12.16	12.03	0.06728	0	0.06728	0	0	0.1871	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	45	35	0.39356	0.6292	200	47299	487040	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.038	21.64	21.64	12.18	12.04	0.06719	0	0.06719	0	0	0.1873	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	46	36	0.40404	0.6334	200	53020	510780	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.047	21.87	21.87	12.19	12.06	0.06709	0	0.06709	0	0	0.1876	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	47	37	0.4146	0.6251	199.14	74527	578620	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.055	22.1	22.1	12.21	12.08	0.06699	0	0.06699	0	0	0.1879	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	48	38	0.42502	0.6297	200	57754	542960	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.063	22.32	22.32	12.23	12.09	0.0669	0	0.0669	0	0	0.1882	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	49	39	0.43551	0.6293	200	49350	516470	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.072	22.55	22.55	12.24	12.11	0.0668	0	0.0668	0	0	0.1885	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	50	40	0.446	0.6322	200	49322	528150	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.08	22.77	22.77	12.26	12.13	0.0667	0	0.0667	0	0	0.1888	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	51	41	0.45654	0.6268	200	46571	479670	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.086	22.78	22.78	12.28	12.14	0.06642	0	0.06642	0	0	0.189	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	52	42	0.46699	0.6289	200	43324	434250	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.09	22.65	22.65	12.29	12.16	0.06604	0	0.06604	0	0	0.1892	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	53	43	0.47747	0.6293	200	48036	506360	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.095	22.51	22.51	12.31	12.17	0.06565	0	0.06565	0	0	0.1894	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	54	44	0.48796	0.8452	200	53281	484680	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.099	22.38	22.38	12.32	12.19	0.06526	0	0.06526	0	0	0.1896	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	56	45	0.50204	0.5981	200	53156	552620	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.105	22.2	22.2	12.34	12.21	0.06474	0	0.06474	0	0	0.1899	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	57	46	0.51201	0.6347	200	58744	512460	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.109	22.07	22.07	12.36	12.22	0.06437	0	0.06437	0	0	0.19	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	58	47	0.52259	0.5927	166.58	57231	563850	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.114	21.94	21.94	12.37	12.24	0.06398	0	0.06398	0	0	0.1902	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	59	48	0.53247	0.6266	200	65738	535470	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.118	21.81	21.81	12.39	12.25	0.06361	0	0.06361	0	0	0.1904	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	60	49	0.54291	0.6296	200	53196	509160	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.122	21.68	21.68	12.4	12.27	0.06323	0	0.06323	0	0	0.1906	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	61	50	0.5534	0.6294	200	54499	525930	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.127	21.55	21.55	12.42	12.29	0.06284	0	0.06284	0	0	0.1908	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	62	51	0.56389	0.629	195.71	54156	507950	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.131	21.41	21.41	12.43	12.3	0.06245	0	0.06245	0	0	0.191	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	63	52	0.57438	0.646	200	56085	564890	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.135	21.28	21.28	12.45	12.32	0.06206	0	0.06206	0	0	0.1912	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	64	53	0.58514	0.594	184.34	58529	548510	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.14	21.14	21.14	12.46	12.33	0.06166	0	0.06166	0	0	0.1914	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	65	54	0.59504	0.6098	180.49	60271	557940	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.144	21.02	21.02	12.48	12.35	0.06129	0	0.06129	0	0	0.1916	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	66	55	0.60521	0.632	200	61720	522500	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.148	20.89	20.89	12.49	12.36	0.06092	0	0.06092	0	0	0.1918	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	67	56	0.61574	0.613	186.63	54741	527090	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.153	20.76	20.76	12.51	12.38	0.06053	0	0.06053	0	0	0.192	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	68	57	0.62596	0.6302	200	57551	588520	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.157	20.63	20.63	12.52	12.39	0.06015	0	0.06015	0	0	0.1921	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	69	58	0.63646	0.6295	200	56992	543170	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.162	20.49	20.49	12.54	12.41	0.05976	0	0.05976	0	0	0.1923	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	70	59	0.64695	0.5672	134.17	71212	637980	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.166	20.36	20.36	12.55	12.42	0.05937	0	0.05937	0	0	0.1925	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	71	60	0.65641	0.6268	200	62502	563120	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.17	20.24	20.24	12.57	12.44	0.05902	0	0.05902	0	0	0.1927	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	72	61	0.66685	0.6085	179.57	66069	608670	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.174	20.11	20.11	12.58	12.45	0.05864	0	0.05864	0	0	0.1929	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	73	62	0.67699	0.6304	200	63558	538280	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.179	19.98	19.98	12.6	12.47	0.05826	0	0.05826	0	0	0.1931	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	74	63	0.6875	0.6363	200	77471	602970	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.183	19.84	19.84	12.61	12.48	0.05787	0	0.05787	0	0	0.1933	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	75	64	0.69811	0.6219	200	70177	557160	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.187	19.71	19.71	12.63	12.5	0.05748	0	0.05748	0	0	0.1935	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	76	65	0.70847	0.6299	200	57706	488270	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.192	19.58	19.58	12.64	12.51	0.05709	0	0.05709	0	0	0.1937	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	77	66	0.71897	0.6283	200	60826	560640	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.196	19.44	19.44	12.66	12.53	0.0567	0	0.0567	0	0	0.1939	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	78	67	0.72944	0.6325	200	55218	529470	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.201	19.31	19.31	12.67	12.54	0.05632	0	0.05632	0	0	0.1941	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	79	68	0.73998	0.6452	200	64634	577350	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.205	19.18	19.18	12.69	12.56	0.05593	0	0.05593	0	0	0.1943	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	80	69	0.75074	0.6109	200	60465	554400	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.209	19.05	19.05	12.7	12.57	0.05561	0	0.05561	0	0	0.1945	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	81	70	0.76092	0.6295	200	56933	526260	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.206	19.06	19.06	12.72	12.59	0.05642	0	0.05642	0	0	0.1946	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	82	71	0.77141	0.6337	200	57789	553870	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.202	19.06	19.06	12.73	12.6	0.05725	0	0.05725	0	0	0.1947	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	83	72	0.78197	0.6264	200	56857	521240	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.199	19.06	19.06	12.74	12.61	0.05809	0	0.05809	0	0	0.1949	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	84	73	0.79241	0.6285	200	52042	493490	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.195	19.07	19.07	12.75	12.62	0.05892	0	0.05892	0	0	0.195	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	85	74	0.80289	0.6296	200	60080	584110	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.191	19.07	19.07	12.77	12.63	0.05975	0	0.05975	0	0	0.1951	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	86	75	0.81338	0.6317	200	49603	484860	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.188	19.08	19.08	12.78	12.64	0.06059	0	0.06059	0	0	0.1953	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	87	76	0.82391	0.6274	200	51852	513570	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.184	19.08	19.08	12.79	12.65	0.06142	0	0.06142	0	0	0.1954	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	88	77	0.83437	0.63	200	83129	588550	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.181	19.08	19.08	12.8	12.66	0.06225	0	0.06225	0	0	0.1956	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	89	78	0.84487	0.8533	200	71443	567310	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.177	19.09	19.09	12.82	12.68	0.06308	0	0.06308	0	0	0.1957	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	91	79	0.85909	0.6049	200	81003	614000	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.173	19.09	19.09	12.83	12.69	0.06421	0	0.06421	0	0	0.1959	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	92	80	0.86917	0.6036	180.96	65103	555720	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.169	19.1	19.1	12.85	12.7	0.06501	0	0.06501	0	0	0.196	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	93	81	0.87923	0.6294	200	55405	546680	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.166	19.1	19.1	12.86	12.71	0.06581	0	0.06581	0	0	0.1962	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	94	82	0.88972	0.6324	200	88399	611370	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.162	19.11	19.11	12.87	12.72	0.06664	0	0.06664	0	0	0.1963	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	95	83	0.90026	0.6265	200	65167	509490	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.159	19.11	19.11	12.88	12.74	0.06748	0	0.06748	0	0	0.1964	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	96	84	0.9107	0.6303	200	53924	534190	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.155	19.11	19.11	12.9	12.75	0.06831	0	0.06831	0	0	0.1966	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	97	85	0.9212	0.8448	200	54834	486950	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.152	19.12	19.12	12.91	12.76	0.06914	0	0.06914	0	0	0.1967	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	99	86	0.93528	0.5976	200	50301	523200	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.147	19.12	19.12	12.93	12.77	0.07026	0	0.07026	0	0	0.1969	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	100	87	0.94525	0.6289	200	56161	512660	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.143	19.13	19.13	12.94	12.78	0.07105	0	0.07105	0	0	0.197	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	101	88	0.95573	0.6294	200	49283	481590	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.14	19.13	19.13	12.95	12.8	0.07188	0	0.07188	0	0	0.1972	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	102	89	0.96622	0.6339	200	43682	445610	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.136	19.14	19.14	12.96	12.81	0.07272	0	0.07272	0	0	0.1973	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	103	90	0.97678	0.6256	200	49889	495850	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.133	19.14	19.14	12.98	12.82	0.07355	0	0.07355	0	0	0.1974	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	104	91	0.98721	0.6295	200	50420	507200	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.129	19.14	19.14	12.99	12.83	0.07438	0	0.07438	0	0	0.1976	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	105	92	0.9977	0.6295	200	48101	497980	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.126	19.15	19.15	13	12.84	0.07521	0	0.07521	0	0	0.1977	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	106	93	1.0082	0.6363	200	58639	544510	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.122	19.15	19.15	13.01	12.85	0.07605	0	0.07605	0	0	0.1979	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	107	94	1.0188	0.6234	200	54446	547580	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.119	19.16	19.16	13.03	12.86	0.07689	0	0.07689	0	0	0.198	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	108	95	1.0292	0.84399	200	58232	530530	1	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.115	19.16	19.16	13.04	12.87	0.07771	0	0.07771	0	0	0.1981	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	110	96	1.0433	0.6001	200	49152	504790	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.11	19.17	19.17	13.06	12.89	0.07883	0	0.07883	0	0	0.1983	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	111	97	1.0533	0.6266	200	67995	549710	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.108	19.15	19.15	13.08	12.91	0.07988	0	0.07988	0	0	0.1982	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	112	98	1.0637	0.6297	200	66866	556200	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.108	19.08	19.08	13.12	12.95	0.08154	0	0.08154	0	0	0.1977	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	113	99	1.0742	0.6304	200	72722	604790	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.108	19	19	13.17	12.99	0.08321	0	0.08321	0	0	0.1971	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	114	100	1.0847	0.6319	200	55390	546640	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.108	18.93	18.93	13.21	13.03	0.08487	0	0.08487	0	0	0.1966	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	115	101	1.0952	0.626	200	60830	553410	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.107	18.86	18.86	13.25	13.08	0.08654	0	0.08654	0	0	0.196	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	116	102	1.1057	0.6489	200	59648	523010	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.107	18.79	18.79	13.3	13.12	0.0882	0	0.0882	0	0	0.1955	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	117	103	1.1165	0.6098	200	55137	536740	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.107	18.72	18.72	13.34	13.16	0.08992	0	0.08992	0	0	0.1949	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	118	104	1.1266	0.6334	200	56920	550510	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.107	18.65	18.65	13.39	13.2	0.09153	0	0.09153	0	0	0.1944	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	119	105	1.1372	0.6262	200	50853	536590	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.107	18.57	18.57	13.43	13.24	0.09321	0	0.09321	0	0	0.1938	0	0	NaN	NaN	NaN	NaN
171010_Ip_Hela_ugi	120	106	1.1476	0.6309	200	45435	486640	0	0	//data/RawRead/171010_Ip_Hela_ugi.raw	4.106	18.5	18.5	13.48	13.28	0.09486	0	0.09486	0	0	0.1932	0	0	NaN	NaN	NaN	NaN
